# MODEL ATMOSPHERE NO.  6
#
#
#      Z         P        T     REL H    H2O                          AEROSOL
#     (KM)      (MB)     (K)     (%)  (GM / M3)  TYPE                 PROFILE
#                              [Before scaling]
#     2.250   770.655  273.53   52.18 2.596E+00 USER RAIN NO CLOUD  USER RAIN NO CLOUD  
#
#TOTAL COLUMN ABSORBER AMOUNTS FOR THE LINE-OF-SIGHT PATH:
#
#                 HNO3      O3 UV      CNTMSLF1    CNTMSLF2    CNTMFRN     N2 CONT     MOL SCAT
#               (ATM CM)   (ATM CM)   (MOL CM-2)  (MOL CM-2)  (MOL CM-2)             (550 NM EXT)
#            3.5216E-04  3.3824E-01  3.2010E+19  2.5522E+19  1.1881E+22  2.3466E+00  7.4361E-02
#
#
#                AER 1       AER 2       AER 3       AER 4      CIRRUS     WAT DROP    ICE PART   MEAN AER RH
#                                                                         (KM GM/M3)  (KM GM/M3)    (PRCNT)
#              0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000        0.00
#
#
#
#                H2O         O3          CO2         CO          CH4         N2O
#             (                                   ATM CM                                   )
#            6.3607E+02  3.3824E-01  2.2091E+02  6.1598E-02  1.0013E+00  1.8590E-01
#
#
#
#                O2          NH3         NO          NO2         SO2
#               (                      ATM CM                      )
#            1.2825E+05  8.3811E-05  2.5812E-04  2.0012E-04  5.9650E-05
#
#
#               CFC11       CFC12       CFC13       CFC14       CFC22      CFC113      CFC114
#             (                                    ATM CM                                    )
#            7.9177E-05  1.3973E-04  6.1363E-13  6.1363E-13  3.5415E-05  1.0965E-05  7.1047E-06
#
#
#              CFC115      CLONO2        HNO4      CHCL2F        CCL4        N2O5
#             (                                    ATM CM                                    )
#            6.1363E-13  3.8629E-05  4.1787E-05  6.1363E-13  7.2964E-05  2.7589E-06
#
#  wv(nm)     COMB_TR       H2O        O3    H2O_CT  MOL_SCAT   AER+CLD        O2 
  1106.195   0.88000   0.88670   1.00000   0.99690   0.99560   1.00000   1.00000 
  1105.583   0.93030   0.93720   1.00000   0.99700   0.99560   1.00000   1.00000 
  1104.972   0.95800   0.96500   1.00000   0.99720   0.99560   1.00000   1.00000 
  1104.362   0.88530   0.89160   1.00000   0.99730   0.99560   1.00000   1.00000 
  1103.753   0.96530   0.97200   1.00000   0.99750   0.99560   1.00000   1.00000 
  1103.144   0.92890   0.93530   1.00000   0.99760   0.99560   1.00000   1.00000 
  1102.536   0.93670   0.94300   1.00000   0.99770   0.99550   1.00000   1.00000 
  1101.928   0.91610   0.92220   1.00000   0.99780   0.99550   1.00000   1.00000 
  1101.322   0.95850   0.96480   1.00000   0.99790   0.99550   1.00000   1.00000 
  1100.715   0.94310   0.94920   1.00000   0.99810   0.99550   1.00000   1.00000 
  1100.110   0.95230   0.95840   1.00000   0.99820   0.99550   1.00000   1.00000 
  1099.505   0.92820   0.93400   1.00000   0.99830   0.99550   1.00000   1.00000 
  1098.901   0.95540   0.96130   1.00000   0.99840   0.99550   1.00000   1.00000 
  1098.298   0.96790   0.97390   1.00000   0.99850   0.99550   1.00000   0.99990 
  1097.695   0.95080   0.95660   1.00000   0.99860   0.99550   1.00000   0.99990 
  1097.093   0.99170   0.99770   1.00000   0.99870   0.99550   1.00000   0.99990 
  1096.491   0.97240   0.97820   1.00000   0.99880   0.99540   1.00000   0.99990 
  1095.890   0.94530   0.95090   1.00000   0.99880   0.99540   1.00000   0.99990 
  1095.290   0.98790   0.99370   1.00000   0.99890   0.99540   1.00000   0.99980 
  1094.691   0.95100   0.95650   1.00000   0.99900   0.99540   1.00000   0.99980 
  1094.092   0.98250   0.98810   1.00000   0.99910   0.99540   1.00000   0.99980 
  1093.494   0.98650   0.99210   1.00000   0.99910   0.99540   1.00000   0.99980 
